slug,auto_class,manual_class,rationale,finding,evidence_quote,qlen,window_frac,variant_match,ocr_applied,file_ext,k,src_context
2016__kjell_konis,unsupported,content_present_stitched,table values verbatim in source; quote adds sfm/tfm labels + stitches rows,Three-factor models reduce residual volatility for most assets compared to single-factor models.,Residual Volatilities: sfm: 0.01695 0.01863 tfm: 0.01510 0.01506,64,0,FALSE,FALSE,pdf,4,""
2014__bob_mcdonald,partial,content_present_stitched,two verbatim fragments joined with ellipsis,R enables visualizing early exercise decisions in American options.,An R plot can be used to show simultaneously... whether the option is exercised at a given node,95,0.33,FALSE,FALSE,pdf,2,"(the holder of an unexercised call forgoes dividends) i interest leads to delay of exercise (defer payment of the strike price) i volatility leads to delay of exercise (with higher volatility, greater chance of later regret for having exercised) page 9 --- page break --- illustrating early exercise an r plot can be used to show simultaneously i the possible values of future stock prices i the probability of each price i whether the option is exercised at a given node (green means exercise, red means not) page 10 --- page break --- illustrating early exercise: example s = 100, k = 95, σ = 0.3, r = 0.08, δ = 0.08, t = 1, n = 20: 400 ● "
2018__dirk_eddelbuettel,unsupported,content_present_stitched,benchmark table rows verbatim; quote elides middle columns with ellipsis,RcppMLPACK's K-means implementation outperformed base R's kmeans by ~33.8x,"mlKmeans(t(wine), 3) 100 0.028 1.000 ... kmeans(wine, 3) 100 0.947 33.821",73,0,FALSE,TRUE,pdf,3,""
2011__iacus,short_quote,short_or_empty_quote,evidence_quote empty (auto-fail by design),Markov Operator distance (MO) outperforms traditional distance measures for clustering financial time series.,"",0,0,FALSE,TRUE,pdf,1,statistical data analysis of financial time series and option pricing in r s.m. iacus 2011 s.m. iacus 2011 r in finance - 1 / 113 --- page break --- explorative data analysis nyse data estimation of financial models likelihood approach two stage least squares estimation model selection numerical evidence application to real data the change
2013__ronald_hochreiter,partial,content_present_stitched,two verbatim fragments stitched; package-name list lightly reworded,modopt provides a lightweight R framework for portfolio optimization.,"Light-weight: Just a handful of functions... design is influenced by AMPL, ZIMPL, CVX, YalMip.",94,0.17,FALSE,TRUE,pdf,2," (and only these) ingredients within r. --- page break --- optimization modeling in r (modopt) model() x1 <- 0; x2 <- 0 variable(x1, lb=0) variable(x2, lb=0) maximize(""""2*x1 + x2"""") subject_to(""""x1+x2 <= 5"""") subject_to(""""x1 <= 3"""") optimization() --- page break --- optimization modeling in r with modopt light-weight: just a handful of functions to add objective function(s), constraints, parameters, to initialize (optimization) variables, and to define (optimization variable) sets. model() to create a new optimization model. optimization() to execute the current model. the design of the package is heavily influenced by the standalone optim"
2019__majeed_simaan,unsupported,content_present_stitched,results-table numbers verbatim; quote reformats into prose,ML-based tactical allocation outperforms 60-40 benchmark with higher Sharpe/Sortino ratios,Sortino 1.35 (a=95%) vs Benchmark 0.92; Sharpe 0.99 (a=95%) vs Benchmark 0.73,77,0,FALSE,FALSE,pdf,1,""
2013__matthew_dowle_2,unsupported,content_present_stitched,both timing figures verbatim; quote reorders + stitches,fread reads CSV files 10x faster than read.csv,"fread(""""test.csv"""") # 3s vs read.csv(""""test.csv"""") # 30-60s",55,0,FALSE,TRUE,pdf,3,""
2015__guy_yollin,unsupported,content_present_artifact,content verbatim; quote contains literal backslash-n escape sequences that defeat whitespace normalization,Rserve and factorAnalytics packages facilitate risk contribution calculations,Rserve\nfactorAnalytics\nPackage\nRisk Contribution\nPerformance Attribution,76,0,FALSE,TRUE,pptx,4,""
2015__majeed_simaan,unsupported,content_present_artifact,table row verbatim; literal backslash-n escape sequences defeat normalization,Performance improvements increase with more assets,10 Assets\n0.23 0.19 0.23 0.19\n0.87 0.90 1.11 0.97,51,0,FALSE,TRUE,pdf,4,""
2022__thomas_harte,short_quote,short_or_empty_quote,"16 chars, auto-fail; text IS verbatim in source",MVC pattern separates CLI parsing logic from execution,Observation: MVC,16,1,FALSE,FALSE,html,3," 'callback': spark_stop_cluster, }, } python: pure data cmd spark stop cluster --instance=instance-2 --verbose view = { 'spark|stop|cluster': { 'callback': spark_stop_cluster, '--instance': { 'help': 'spark cluster instance', 'default': 'instance-1', 'choices': ['instance-1', 'instance-2'], }, }, } observation: mvc model-view-controller wikipedia python: view (pure data) cmd spark start cluster --instance=instance-2 --verbose cmd spark stop cluster --instance=instance-2 --verbose view = { 'spark|start|cluster': { 'callback': spark_start_cluster, '--instance': { 'help': 'spark cluster instance', 'default': 'instance-1', 'choices': ['i"
